run_id,seed,topology,policy,label,deadline_miss_ratio,redundant_byte_ratio,max_miss_burst,p95_miss_burst,secondary_airtime_fraction,adaptive_actions,actions_t0,actions_t1,actions_t2,actions_t4
26c29ae6e3858fabccb1,23,mlo_str,fixed_link_0,MLO,0.00555555555556,0,1,1.0,0.0,0,0,0,0,0
27480644b9e6adf56c21,11,dual_interface,fixed_link_1,Single 5 GHz,0.00166666666667,0,2,1.95,0.0,0,0,0,0,0
2aba3397667578f63904,25,dual_interface,full_duplication,Full duplication,0.00111111111111,0.5,1,1.0,0.0820881533333,0,0,0,0,0
2be6bc49e58d78e87db0,17,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.000555555555556,0.196770080748,1,1.0,0.01942536,460,95,94,193,78
2e044bc7e529395d92ee,28,mlo_str,fixed_link_0,MLO,0.00111111111111,0,1,1.0,0.0,0,0,0,0,0
2eee4f6e13411e06d10f,22,dual_interface,selective_duplication,Selective 0.20,0,0.00526315789474,0,0.0,0.000334473333333,0,0,0,0,0
34f1de96fac7c55e477b,24,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0884086866667,0,0,0,0,0
36663d3a4842c19a94c5,3,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.0127777777778,0.141689373297,1,1.0,0.0195020866667,309,61,17,129,102
37330b323e11bb56075f,27,dual_interface,fixed_link_1,Single 5 GHz,0.0577777777778,0,7,4.099999999999994,0.0,0,0,0,0,0
37a346f3558bcc254d1a,15,dual_interface,selective_duplication,Selective 0.20,0,0.00421496311907,0,0.0,0.000254693333333,0,0,0,0,0
38717ed63f2d4cf326b2,2,mlo_str,fixed_link_0,MLO,0.005,0,1,1.0,0.0,0,0,0,0,0
38b93a18cdfb014a5b22,14,mlo_str,fixed_link_0,MLO,0.00888888888889,0,2,2.0,0.0,0,0,0,0,0
3d64d444e4f6dde6a979,2,dual_interface,selective_duplication,Selective 0.20,0,0.00316455696203,0,0.0,0.000299066666667,0,0,0,0,0
43a6634a59848aae2da6,24,mlo_str,fixed_link_0,MLO,0.00277777777778,0,1,1.0,0.0,0,0,0,0,0
4559b694ce6d3b6aa7fe,19,dual_interface,fixed_link_1,Single 5 GHz,0.00277777777778,0,1,1.0,0.0,0,0,0,0,0
45bb58d10b4bc904caef,13,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0812552,0,0,0,0,0
46e1d3d84fc5fefb8a84,18,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0532178066667,0,0,0,0,0
47e8fd2485cb8f0321ba,19,dual_interface,selective_duplication,Selective 0.20,0.00222222222222,0.00473933649289,1,1.0,0.000302506666667,0,0,0,0,0
4b547dac729005ceade4,9,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.0222222222222,0.203204047218,2,1.0,0.01950932,479,109,24,172,174
4f3c662f7672228f025c,3,dual_interface,fixed_link_1,Single 5 GHz,0.0183333333333,0,3,2.0,0.0,0,0,0,0,0
4ff052840604f0e5d860,16,dual_interface,full_duplication,Full duplication,0.00222222222222,0.5,1,1.0,0.0648477933333,0,0,0,0,0
515b144ecfd14016c1ae,17,dual_interface,fixed_link_1,Single 5 GHz,0.00111111111111,0,1,1.0,0.0,0,0,0,0,0
519d0f2d799073c2610b,24,dual_interface,selective_duplication,Selective 0.20,0,0.00158478605388,0,0.0,0.00015498,0,0,0,0,0
51e91a27b6d1d22a29a3,16,dual_interface,selective_duplication,Selective 0.20,0.0222222222222,0.0257731958763,3,2.349999999999998,0.00182072,0,0,0,0,0
52e11d4f7438253a333c,26,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0845859866667,0,0,0,0,0
531971851b8e66e319c9,14,dual_interface,selective_duplication,Selective 0.20,0.0177777777778,0.0212325220093,3,2.0,0.00114279333333,0,0,0,0,0
532c0e5bd2a5db551942,9,dual_interface,fixed_link_1,Single 5 GHz,0.0505555555556,0,7,4.0,0.0,0,0,0,0,0
582b29325153492311a1,21,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.00222222222222,0.266589057043,1,1.0,0.0194260266667,681,113,64,325,179
589b7313f489914e3893,5,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.0116666666667,0.193686006826,3,1.1999999999999957,0.0194674333333,451,68,16,183,184
59d6618b71d28a9e7ddb,3,dual_interface,full_duplication,Full duplication,0.00166666666667,0.5,1,1.0,0.11443258,0,0,0,0,0
5b2662b22fc8ca508571,13,dual_interface,fixed_link_1,Single 5 GHz,0,0,0,0.0,0.0,0,0,0,0,0
5e99125cc1d57ab017c7,26,mlo_str,fixed_link_0,MLO,0.00722222222222,0,3,2.549999999999999,0.0,0,0,0,0,0
5f90128c16da39398473,24,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0,0.183585313175,0,0.0,0.0194282466667,422,162,103,113,44
609f5df53c48f992e2c0,24,dual_interface,fixed_link_1,Single 5 GHz,0,0,0,0.0,0.0,0,0,0,0,0
60b860883e3363d8e5ae,12,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.0122222222222,0.247311827957,1,1.0,0.01950402,615,110,21,253,231
6152c4d9b8e7e9d3a8ef,18,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.0116666666667,0.265448892344,1,1.0,0.0194950933333,680,106,32,360,182
630448b56e6a3b953099,9,dual_interface,selective_duplication,Selective 0.20,0.0338888888889,0.034236075626,3,2.0,0.00294802,0,0,0,0,0
634e67a774a53d582d54,2,dual_interface,fixed_link_1,Single 5 GHz,0,0,0,0.0,0.0,0,0,0,0,0
655d61cd031ee4ebde27,18,dual_interface,selective_duplication,Selective 0.20,0.0205555555556,0.0140845070423,4,2.549999999999997,0.00071586,0,0,0,0,0
66a2d10edcb1dbc92c63,6,dual_interface,selective_duplication,Selective 0.20,0,0.00421496311907,0,0.0,0.000544406666667,0,0,0,0,0
6a42128aaf5b069c3330,8,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.00111111111111,0.213483146067,1,1.0,0.0194128666667,513,119,92,208,94
6c12eefa8f084166419f,27,dual_interface,full_duplication,Full duplication,0.00222222222222,0.5,2,1.9,0.112652726667,0,0,0,0,0
6e284339dda0acdf02c8,28,dual_interface,fixed_link_1,Single 5 GHz,0.00166666666667,0,2,1.95,0.0,0,0,0,0,0
76404598a7d55cfb4e50,8,dual_interface,fixed_link_1,Single 5 GHz,0.00222222222222,0,2,1.9,0.0,0,0,0,0,0
76c90d4edc4c12c789eb,30,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.00666666666667,0.186046511628,1,1.0,0.0193769333333,429,84,38,151,156
786cbd8322c4a7606e1a,11,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0613628133333,0,0,0,0,0
