family_id,scenario_id,parameter_sample,seed,run,arm_id,run_id,generated_frame_count,completed_frame_count,incomplete_frame_count,deadline_miss_count,all_generated_deadline_miss_rate,completed_frame_hf7_p99_supported,completed_frame_hf7_p99_us,sender_airtime_us,background_throughput_mbps
radio_propagation,radio-propagation-qualification-p21,21,21021,1,str_mlo_nmaxinflights_1,0b3d01f2fbf3294895e1,1800,1796,4,4,0.0022222222222222222,1,18504.24999999999,4130217.0,26.3696
radio_propagation,radio-propagation-qualification-p21,21,21021,1,score_aware_t2_v2,40d2556d43fcf221400d,1800,1796,4,4,0.0022222222222222222,1,14648.549999999968,4263862.0,26.3688
radio_propagation,radio-propagation-qualification-p21,21,21021,1,distributional_shadow_t2,da3b57aa828f4187bbf1,1800,1797,3,3,0.0016666666666666668,1,14233.039999999995,4486909.0,26.3688
radio_propagation,radio-propagation-qualification-p21,21,21022,1,str_mlo_nmaxinflights_1,2939396f8c1375306a77,1800,1776,24,24,0.013333333333333334,1,22182.25,4773936.0,25.34784
radio_propagation,radio-propagation-qualification-p21,21,21022,1,score_aware_t2_v2,68fe5d5dc0c93a90b8f7,1800,1777,23,23,0.012777777777777779,1,20580.800000000003,6289406.0,25.34752
radio_propagation,radio-propagation-qualification-p21,21,21022,1,distributional_shadow_t2,4a8dc497db2bc7ddf10f,1800,1778,22,22,0.012222222222222223,1,21537.490000000005,6290378.0,25.34752
radio_propagation,radio-propagation-qualification-p21,21,21023,1,str_mlo_nmaxinflights_1,a6728571ddfc3075955f,1800,1795,5,5,0.002777777777777778,1,17927.15999999999,4073217.0,26.30352
radio_propagation,radio-propagation-qualification-p21,21,21023,1,score_aware_t2_v2,b76aaab1f6225a41c43c,1800,1793,7,7,0.0038888888888888888,1,17699.999999999978,4645977.0,26.30416
radio_propagation,radio-propagation-qualification-p21,21,21023,1,distributional_shadow_t2,3692258cc0e422abd775,1800,1793,7,7,0.0038888888888888888,1,15732.64,4778485.0,26.30416
radio_propagation,radio-propagation-qualification-p21,21,21024,1,str_mlo_nmaxinflights_1,b1d9526ec7d2f41eb6f0,1800,1765,35,35,0.019444444444444445,1,22310.6,4795218.0,26.97776
radio_propagation,radio-propagation-qualification-p21,21,21024,1,score_aware_t2_v2,515d1c45c324b64ca9d8,1800,1758,42,42,0.023333333333333334,1,26810.96000000002,6226642.0,26.97472
radio_propagation,radio-propagation-qualification-p21,21,21024,1,distributional_shadow_t2,eaf7c05cb6d1563ddf62,1800,1767,33,33,0.018333333333333333,1,26372.719999999987,6266935.0,26.97472
radio_propagation,radio-propagation-qualification-p22,22,21025,1,str_mlo_nmaxinflights_1,dfb6dd3f974f710ff8e4,1800,1800,0,0,0.0,1,10154.669999999998,3515933.0,26.67936
radio_propagation,radio-propagation-qualification-p22,22,21025,1,score_aware_t2_v2,83aadec8598a1ba57098,1800,1799,1,1,0.0005555555555555556,1,10798.739999999998,3649616.0,26.68256
radio_propagation,radio-propagation-qualification-p22,22,21025,1,distributional_shadow_t2,36c87af9b5a711cd3c9f,1800,1800,0,0,0.0,1,9307.169999999996,3893903.0,26.68256
radio_propagation,radio-propagation-qualification-p22,22,21026,1,str_mlo_nmaxinflights_1,393cd886ed9af91aaa78,1800,1795,5,5,0.002777777777777778,1,15213.919999999976,3867180.0,27.30912
radio_propagation,radio-propagation-qualification-p22,22,21026,1,score_aware_t2_v2,9df53474c12554d5b1eb,1800,1793,7,7,0.0038888888888888888,1,15984.799999999983,4643520.0,27.04032
radio_propagation,radio-propagation-qualification-p22,22,21026,1,distributional_shadow_t2,cbf9c8ae898339f940bb,1800,1795,5,5,0.002777777777777778,1,14400.119999999986,4672764.0,27.04032
radio_propagation,radio-propagation-qualification-p22,22,21027,1,str_mlo_nmaxinflights_1,21a7ce8348580ffe3e95,1800,1800,0,0,0.0,1,5828.03,3130622.0,26.65472
radio_propagation,radio-propagation-qualification-p22,22,21027,1,score_aware_t2_v2,028d2e41fa69e69d9b7d,1800,1799,1,1,0.0005555555555555556,1,8456.3,3244190.0,26.65328
radio_propagation,radio-propagation-qualification-p22,22,21027,1,distributional_shadow_t2,82bb046e096888f3cd94,1800,1800,0,0,0.0,1,7459.389999999999,3511362.0,26.65328
radio_propagation,radio-propagation-qualification-p22,22,21028,1,str_mlo_nmaxinflights_1,f296bb5920d7d5793742,1800,1800,0,0,0.0,1,10902.89,3569900.0,27.09808
radio_propagation,radio-propagation-qualification-p22,22,21028,1,score_aware_t2_v2,eec94034efdd4e8b5ee0,1800,1800,0,0,0.0,1,10778.279999999999,3786039.0,27.09872
radio_propagation,radio-propagation-qualification-p22,22,21028,1,distributional_shadow_t2,4b99d50b4058cdfa6874,1800,1800,0,0,0.0,1,9828.839999999998,4044280.0,27.09872
radio_propagation,radio-propagation-qualification-p23,23,21029,1,str_mlo_nmaxinflights_1,a99c2fb8301065086595,1800,1312,488,488,0.27111111111111114,1,31923.36,9481669.0,26.34
radio_propagation,radio-propagation-qualification-p23,23,21029,1,score_aware_t2_v2,d4c41da2db37ded9b912,1800,1130,670,670,0.37222222222222223,1,32703.210000000003,14221992.0,26.33584
radio_propagation,radio-propagation-qualification-p23,23,21029,1,distributional_shadow_t2,2d81ee1c5d50a80817bc,1800,1153,647,647,0.35944444444444446,1,32717.48,14293224.0,26.33584
radio_propagation,radio-propagation-qualification-p23,23,21030,1,str_mlo_nmaxinflights_1,5158a50f0ce12503acd2,1800,1437,363,363,0.20166666666666666,1,32045.080000000005,8985866.0,26.32752
radio_propagation,radio-propagation-qualification-p23,23,21030,1,score_aware_t2_v2,da7d1150de1d81ba764f,1800,1254,546,546,0.30333333333333334,1,32064.29,11546898.0,26.31712
radio_propagation,radio-propagation-qualification-p23,23,21030,1,distributional_shadow_t2,d9cba4742bd84662a175,1800,1297,503,503,0.27944444444444444,1,32037.28,11834456.0,26.31712
