analysis,bin,calibration_error,count,degradation_profile,effective_bin_count,feature_set,link,mean_probability,model,observed_miss_rate,partition,pipeline_type,probability_max,probability_min,requested_bin_count,sample_offset_us,scenario_id,stage
per_link,5,0.005850206093808097,3602,,10,F0+F1-ideal,0,0.005902915213705242,histogram_gradient_boosting,0.006385341476957246,in_distribution_test,model,0.01292089149423642,0.0020267233452439842,10,0,,T0
per_link,6,0.005850206093808097,3600,,10,F0+F1-ideal,0,0.02333161794711888,histogram_gradient_boosting,0.025555555555555557,in_distribution_test,model,0.038289998287393025,0.012924453868195195,10,0,,T0
per_link,7,0.005850206093808097,3600,,10,F0+F1-ideal,0,0.058341100304281766,histogram_gradient_boosting,0.04527777777777778,in_distribution_test,model,0.08252029053772524,0.03829660926798541,10,0,,T0
per_link,8,0.005850206093808097,3600,,10,F0+F1-ideal,0,0.11896929649787738,histogram_gradient_boosting,0.09888888888888889,in_distribution_test,model,0.16035231470122405,0.08252991393762713,10,0,,T0
per_link,9,0.005850206093808097,3600,,10,F0+F1-ideal,0,0.3264742190199638,histogram_gradient_boosting,0.30527777777777776,in_distribution_test,model,0.8825766596802332,0.16038781607845065,10,0,,T0
per_link,0,0.005420982242571981,4320,,10,F0+F1-ideal,0,0.0004967560794337765,histogram_gradient_boosting,0.0,ood:obss_only,model,0.0006863006741621734,5.137861537899314e-05,10,0,obss_only,T0
per_link,1,0.005420982242571981,4320,,10,F0+F1-ideal,0,0.0011543911964234288,histogram_gradient_boosting,0.001388888888888889,ood:obss_only,model,0.0017916748045605313,0.0006864625898110472,10,0,obss_only,T0
per_link,2,0.005420982242571981,4318,,10,F0+F1-ideal,0,0.0022113674946537395,histogram_gradient_boosting,0.004400185270958777,ood:obss_only,model,0.002591147632179905,0.0017919071254128924,10,0,obss_only,T0
per_link,3,0.005420982242571981,4322,,10,F0+F1-ideal,0,0.002949451124536166,histogram_gradient_boosting,0.005552984729291994,ood:obss_only,model,0.0033108993265792415,0.0025915184197879497,10,0,obss_only,T0
per_link,4,0.005420982242571981,4320,,10,F0+F1-ideal,0,0.0036763639775908253,histogram_gradient_boosting,0.0060185185185185185,ood:obss_only,model,0.004039876041506145,0.0033111109397593362,10,0,obss_only,T0
per_link,5,0.005420982242571981,4321,,10,F0+F1-ideal,0,0.004440506618205532,histogram_gradient_boosting,0.007637121036797038,ood:obss_only,model,0.004863840551755395,0.00403999604067185,10,0,obss_only,T0
per_link,6,0.005420982242571981,4319,,10,F0+F1-ideal,0,0.005358375972022469,histogram_gradient_boosting,0.005325306783977773,ood:obss_only,model,0.005856911063705283,0.00486424860972102,10,0,obss_only,T0
per_link,7,0.005420982242571981,4320,,10,F0+F1-ideal,0,0.006592963548888429,histogram_gradient_boosting,0.00787037037037037,ood:obss_only,model,0.007445257711504134,0.00585702626003519,10,0,obss_only,T0
per_link,8,0.005420982242571981,4319,,10,F0+F1-ideal,0,0.008936311673768514,histogram_gradient_boosting,0.012271359110905301,ood:obss_only,model,0.011293045758602587,0.007446250687009168,10,0,obss_only,T0
per_link,9,0.005420982242571981,4321,,10,F0+F1-ideal,0,0.03718406445402391,histogram_gradient_boosting,0.07567692663735247,ood:obss_only,model,0.8619356889317508,0.011300035103709919,10,0,obss_only,T0
per_link,0,0.10208666730700044,4320,,10,F0+F1-ideal,0,0.001726167820120621,histogram_gradient_boosting,0.005787037037037037,ood:obss_plus_legacy_mixed8,model,0.002821225345571969,0.00021134202095763466,10,0,obss_plus_legacy_mixed8,T0
per_link,1,0.10208666730700044,4321,,10,F0+F1-ideal,0,0.0033965496870445302,histogram_gradient_boosting,0.01087711177968063,ood:obss_plus_legacy_mixed8,model,0.0039446624359242444,0.0028213537690685744,10,0,obss_plus_legacy_mixed8,T0
