analysis,average_precision,brier_score,calibration_error,degradation_profile,effective_calibration_bin_count,eligible_frames,eligible_misses,feature_set,link,model,partition,pipeline_type,prevalence,requested_calibration_bin_count,roc_auc,sample_offset_us,scenario_id,stage,subgroup_dimension,subgroup_value
per_link,0.6166321564852185,0.1089196874602404,0.09962300781454636,,10,43200,6419,F0+F1-polling-1ms,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8831337964100461,0,obss_plus_legacy_mixed8,T0,,
per_link,0.43652294991383955,0.034540213288718015,0.005715415850410846,,10,36000,1736,F0+F1-polling-1ms+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9193481728616296,0,,T0,,
per_link,0.27289959449017875,0.010885734152169391,0.003848780874378773,,10,43200,545,F0+F1-polling-1ms+F2,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8117082760230094,0,obss_only,T0,,
per_link,0.6543650292345835,0.10184329412971853,0.09264514621139813,,10,43200,6419,F0+F1-polling-1ms+F2,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8935933321100802,0,obss_plus_legacy_mixed8,T0,,
per_link,0.43652294991383955,0.034540213288718015,0.005715415850410846,,10,36000,1736,F0+F1-polling-1ms+F2-exportable,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9193481728616296,0,,T0,,
per_link,0.27289959449017875,0.010885734152169391,0.003848780874378773,,10,43200,545,F0+F1-polling-1ms+F2-exportable,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8117082760230094,0,obss_only,T0,,
per_link,0.6543650292345835,0.10184329412971853,0.09264514621139813,,10,43200,6419,F0+F1-polling-1ms+F2-exportable,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8935933321100802,0,obss_plus_legacy_mixed8,T0,,
subgroup,0.3540569294383936,0.06102929961793868,0.016001842246919546,,10,7200,565,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.07847222222222222,10,0.8183926749404806,0,,T0,miss_regime,medium
subgroup,0.37298101838168307,0.020457188096703615,0.00542160416794245,,10,14400,392,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.02722222222222222,10,0.9499991440751057,0,,T0,miss_regime,off_target
subgroup,0.15594065520104358,0.01514139577220668,0.014250747867172817,,10,7200,115,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.01597222222222222,10,0.8087631554723695,0,,T0,miss_regime,low
subgroup,0.5914029591783385,0.10855715384723272,0.011025727139526806,,10,3600,664,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.18444444444444444,10,0.8429892936870096,0,,T0,miss_regime,high
subgroup,,1.460608487048291e-06,0.000182935766019322,,10,3600,0,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.0,10,,0,,T0,miss_regime,unloaded
subgroup,0.3854950808286901,0.040773391630955245,0.01060580386672124,,10,9000,488,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.05422222222222222,10,0.8910663971018735,0,,T0,correlation_mode,common_bursts
subgroup,0.5260032986005282,0.042602983259489,0.0034589280869753306,,10,14400,948,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.06583333333333333,10,0.9241312445814529,0,,T0,correlation_mode,independent
subgroup,,1.460608487048291e-06,0.000182935766019322,,10,3600,0,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.0,10,,0,,T0,correlation_mode,none
subgroup,0.25636058848860876,0.02815275395959752,0.007818430379815871,,10,9000,300,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.03333333333333333,10,0.8982130268199233,0,,T0,correlation_mode,mixed_common_and_independent
subgroup,0.392914074515687,0.0663230276492368,0.033365482512008604,,10,600,52,F0+F1-ideal+F2,0,histogram_gradient_boosting,in_distribution_test,model,0.08666666666666667,10,0.8804393599101628,0,,T0,frame_type,I_FRAME
