absolute_action_rate_deviation,analysis,budget,calibration_miss_recall_at_threshold,calibration_precision_at_threshold,calibration_score_threshold,calibration_threshold_mode,degradation_profile,eligible_frames,eligible_misses,expected_topk_true_positives,feature_set,k,link,model,observed_calibration_action_rate,observed_test_action_rate,partition,pipeline_type,precision,recall,sample_offset_us,scenario_id,source_link,stage,status,subgroup_dimension,subgroup_value,target_budget,test_miss_recall_at_calibration_threshold,test_precision_at_calibration_threshold,tie_precision_lower,tie_precision_upper,tie_recall_lower,tie_recall_upper,topk_cutoff_score,topk_strict_count,topk_tie_count,topk_tie_slots
0.0002814353201326947,per_link,0.2,0.25246062992125984,0.25817815802717664,0.20389045630863548,numeric,,29851,6418,2496.6563944530044,,5971,0,packet_count_additive_baseline,0.19971856467986732,0.18264044755619577,ood:obss_plus_legacy_mixed8,heuristic,0.4181303624942228,0.3890084752965105,2000,obss_plus_legacy_mixed8,,T2,ok,,,0.2,0.3304767840448738,0.38903154805575935,0.41751800368447495,0.41885781276168144,0.38843876597070737,0.38968526020567157,2.1499950885772705,5944,649,27
,per_link,0.05,,,,,,17137,1736,,,857,0,random_expected,,,in_distribution_test,heuristic,0.10130127793662835,0.05000875299060512,2000,,,T2,ok,,,,,,,,,,,,,
,per_link,0.1,,,,,,17137,1736,,,1714,0,random_expected,,,in_distribution_test,heuristic,0.10130127793662835,0.10001750598121024,2000,,,T2,ok,,,,,,,,,,,,,
,per_link,0.2,,,,,,17137,1736,,,3428,0,random_expected,,,in_distribution_test,heuristic,0.10130127793662835,0.2000350119624205,2000,,,T2,ok,,,,,,,,,,,,,
,per_link,0.05,,,,,,23347,545,,,1168,0,random_expected,,,ood:obss_only,heuristic,0.023343470253137447,0.05002784083608172,2000,obss_only,,T2,ok,,,,,,,,,,,,,
,per_link,0.1,,,,,,23347,545,,,2335,0,random_expected,,,ood:obss_only,heuristic,0.023343470253137447,0.1000128496166531,2000,obss_only,,T2,ok,,,,,,,,,,,,,
,per_link,0.2,,,,,,23347,545,,,4670,0,random_expected,,,ood:obss_only,heuristic,0.023343470253137447,0.2000256992333062,2000,obss_only,,T2,ok,,,,,,,,,,,,,
,per_link,0.05,,,,,,29851,6418,,,1493,0,random_expected,,,ood:obss_plus_legacy_mixed8,heuristic,0.21500117249003384,0.05001507487186359,2000,obss_plus_legacy_mixed8,,T2,ok,,,,,,,,,,,,,
,per_link,0.1,,,,,,29851,6418,,,2986,0,random_expected,,,ood:obss_plus_legacy_mixed8,heuristic,0.21500117249003384,0.10003014974372718,2000,obss_plus_legacy_mixed8,,T2,ok,,,,,,,,,,,,,
,per_link,0.2,,,,,,29851,6418,,,5971,0,random_expected,,,ood:obss_plus_legacy_mixed8,heuristic,0.21500117249003384,0.20002679977220195,2000,obss_plus_legacy_mixed8,,T2,ok,,,,,,,,,,,,,
0.019846215700070363,per_link,0.05,0.034940944881889764,0.23666666666666666,0.2372395246730486,numeric,,17137,1736,78.17088952046925,F0,857,0,logistic_regression,0.03015378429992964,0.03501196242049367,in_distribution_test,model,0.09121457353613681,0.04502931423990164,2000,,,T2,ok,,,0.05,0.029953917050691243,0.08666666666666667,0.08051341890315053,0.10268378063010501,0.039746543778801845,0.05069124423963134,-0.008622518698801577,600,16537,257
0.06984621570007037,per_link,0.1,0.034940944881889764,0.23666666666666666,0.2372395246730486,numeric,,17137,1736,165.44113200701457,F0,1714,0,logistic_regression,0.03015378429992964,0.03501196242049367,in_distribution_test,model,0.09652341423979846,0.09530019124828028,2000,,,T2,ok,,,0.1,0.029953917050691243,0.08666666666666667,0.08576429404900816,0.10793465577596266,0.0846774193548387,0.10656682027649769,-0.008622518698801577,600,16537,1114
0.16984621570007036,per_link,0.2,0.034940944881889764,0.23666666666666666,0.2372395246730486,numeric,,17137,1736,339.98161698010523,F0,3428,0,logistic_regression,0.03015378429992964,0.03501196242049367,in_distribution_test,model,0.0991778345916293,0.19584194526503756,2000,,,T2,ok,,,0.2,0.029953917050691243,0.08666666666666667,0.09101516919486581,0.10764294049008168,0.17972350230414746,0.21255760368663595,-0.008622518698801577,600,16537,2828
