candidate_ordinal,feature_family,signal,ranker,cost_normalized,frame_gate,requested_action_fraction,score_threshold,realized_action_fraction,dr_airtime_us_per_eligible_frame,dr_treat_none_deadline_miss,dr_policy_deadline_miss,dr_deadline_miss_benefit,deadline_miss_relative_improvement,dr_treat_none_completed_late18_numerator,dr_policy_completed_late18_numerator,dr_treat_none_completion_probability,dr_policy_completion_probability,dr_treat_none_completed_late18_ratio,dr_policy_completed_late18_ratio,completed_late18_relative_improvement,dr_treat_none_bad12,dr_policy_bad12,dr_bad12_benefit,balanced_min_relative_improvement,mean_relative_improvement,admissible,rejection_reason,source_frozen,selected
28,primary_base,deadline_value,deadline_value,0,p_frames_only,0.14999999999999999,0.04203709214925766,0.15007730962504831,387.78683645445358,0.020215760277452761,0.0049514110930948801,0.015264349184357881,0.75507173486730861,0.035515588448998006,0.01862390100474812,0.97978423972254713,0.99504858890690506,0.036248376947821924,0.018716574459149891,0.48365758593573321,0.1046070973176101,0.062521631437410005,0.042085465880200096,0.48365758593573321,0.61936466040152094,0,completed_late18_improvement,0,0
29,primary_base,deadline_value,deadline_value,0,p_frames_only,0.16500000000000001,0.03937125951051712,0.16505604947816002,419.64059299101388,0.020215760277452761,0.0048688645770377202,0.015346895700415041,0.75915501023881304,0.035515588448998006,0.016521380511378209,0.97978423972254713,0.99513113542296217,0.036248376947821924,0.016602214445190784,0.54198737038381051,0.1046070973176101,0.059288155682203865,0.045318941635406236,0.54198737038381051,0.65057119031131183,0,assignment_airtime,0,0
30,primary_base,deadline_value,deadline_value,0,p_frames_only,0.17999999999999999,0.036568664014339447,0.18003478933127173,473.89181805122331,0.020215760277452761,0.0045125179917582525,0.015703242285694509,0.77678217737914124,0.035515588448998006,0.015314640270801858,0.97978423972254713,0.99548748200824166,0.036248376947821924,0.015384061123407544,0.57559310460845514,0.1046070973176101,0.056993535404872252,0.047613561912737849,0.57559310460845514,0.67618764099379813,0,assignment_airtime,0,0
31,primary_base,deadline_value,deadline_value,0,p_frames_only,0.20000000000000001,0.033535372465848923,0.20052183996907616,534.0392222311666,0.020215760277452761,0.0042253837566500786,0.015990376520802683,0.79098566174813745,0.035515588448998006,0.014609252953903584,0.97978423972254713,0.99577461624334984,0.036248376947821924,0.014671244592494552,0.59525788937768942,0.1046070973176101,0.054431325861936858,0.050175771455673243,0.59525788937768942,0.69312177556291343,0,action_fraction+assignment_airtime,0,0
32,primary_base,completed_late18_value,completed_late18_value_per_cost,1,all_frames,0.050000000000000003,5.9515652537811548e-05,0.05005798221878624,106.90476575695087,0.020215760277452761,0.01012193053533611,0.010093829742116651,0.49930497807567492,0.035515588448998006,0.025321908381074891,0.97978423972254713,0.98987806946466372,0.036248376947821924,0.025580835824324546,0.29429017301527383,0.1046070973176101,0.080365108738001886,0.024241988579608218,0.29429017301527383,0.39679757554547435,0,deadline_improvement+completed_late18_improvement,0,0
33,primary_base,completed_late18_value,completed_late18_value_per_cost,1,all_frames,0.074999999999999997,4.6204942918848246e-05,0.07508697332817936,183.02366280779356,0.020215760277452761,0.0089540141285179738,0.011261746148934788,0.55707754714005731,0.035515588448998006,0.023133905596701629,0.97978423972254713,0.99104598587148196,0.036248376947821924,0.023342918418017399,0.35602858986986952,0.1046070973176101,0.074064403815239613,0.030542693502370488,0.35602858986986952,0.45655306850496341,0,completed_late18_improvement,0,0
34,primary_base,completed_late18_value,completed_late18_value_per_cost,1,all_frames,0.10000000000000001,4.1533796320436522e-05,0.10001932740626208,254.2332291435921,0.020215760277452761,0.0079309805803221313,0.01228477969713063,0.60768328910351244,0.035515588448998006,0.020995678243297483,0.97978423972254713,0.99206901941967773,0.036248376947821924,0.021163525755072111,0.41615245875598367,0.1046070973176101,0.070016484742383103,0.034590612575226998,0.41615245875598367,0.51191787392974808,0,completed_late18_improvement,0,0
35,primary_base,completed_late18_value,completed_late18_value_per_cost,1,all_frames,0.125,3.8897695048945025e-05,0.1250483185156552,320.2670947505074,0.020215760277452761,0.006521511711903313,0.013694248565549448,0.67740457828949674,0.035515588448998006,0.018705231920131769,0.97978423972254713,0.9934784882880966,0.036248376947821924,0.018828019066989079,0.48058311427043332,0.1046070973176101,0.063488555777165168,0.041118541540444933,0.48058311427043332,0.57899384627996509,0,completed_late18_improvement,0,0
36,primary_base,completed_late18_value,completed_late18_value_per_cost,1,all_frames,0.14999999999999999,3.6493387597147375e-05,0.15007730962504831,383.71975153059924,0.020215760277452761,0.0054206516669582563,0.014795108610494505,0.73186011346780411,0.035515588448998006,0.016733156842506633,0.97978423972254713,0.99457934833304162,0.036248376947821924,0.016824355814900171,0.53585905821057445,0.1046070973176101,0.05989465101651148,0.044712446301098621,0.53585905821057445,0.63385958583918933,1,,0,0
37,primary_base,completed_late18_value,completed_late18_value_per_cost,1,all_frames,0.16500000000000001,3.4877819416578859e-05,0.16505604947816002,417.77466922011962,0.020215760277452761,0.004969447729459793,0.015246312547992968,0.75417952818710632,0.035515588448998006,0.015426984378121299,0.97978423972254713,0.99503055227054005,0.036248376947821924,0.015504030849021445,0.57228344675021248,0.1046070973176101,0.057216708777209704,0.047390388540400397,0.57228344675021248,0.66323148746865934,0,assignment_airtime,0,0
