family_id,scenario_id,parameter_sample,seed,run,run_id,arm_id,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,deadline_miss_rate,completed_p99_us,censored_mean_us,airtime_link_0_us,airtime_link_1_us,sender_airtime_us,background_bytes_received,actions,completed_actions,action_packets,build_host
obss_intensity,obss-intensity-qualification-p17,17,21037,1,87c1dac62beae4d5d672,oracle_eventual_missing_repair_t2,1800,1049,751,0,751,0.4172222222222222,32608.44,19630.422777777778,3246448.0,5788091.0,9034539.0,559027200,860,109,8848,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21136,1,89b0d5b64fd5426279a7,oracle_eventual_missing_repair_t2,1800,1252,548,0,548,0.30444444444444446,32957.18,19102.75277777778,4700939.0,6864302.0,11565241.0,207950400,1031,483,10517,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21134,1,8ad985887a8d6a391a69,ideal_systematic_fec_12p5_t2,1800,1415,385,0,385,0.21388888888888888,32205.91999999999,14120.548333333334,1472020.0,5281038.0,6753058.0,199390800,1800,1479,3690,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21008,1,8c592b4f180b5685fe86,single_5ghz_no_redundancy,1800,1481,319,0,319,0.17722222222222223,31978.4,15026.593333333334,0.0,11363669.0,11363669.0,197488800,0,0,0,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21039,1,8d87b67d3dbbce0ee262,full_copy_t0,1800,652,1148,0,1148,0.6377777777777778,32274.850000000002,25800.444444444445,5515310.0,4975255.0,10490565.0,525766800,1800,31,18900,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21134,1,8dca2d0a4c58dadb3908,single_5ghz_no_redundancy,1800,1397,403,0,403,0.2238888888888889,32185.72,14401.309444444445,0.0,5281038.0,5281038.0,199474800,0,0,0,wifi-exp-17-30
compound_shift,compound-shift-qualification-p19,19,21173,1,904e8c1175beea4117fd,single_5ghz_no_redundancy,1800,1190,610,0,610,0.3388888888888889,32080.419999999987,17853.050555555557,0.0,7049261.0,7049261.0,175544400,0,0,0,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21135,1,970411cfe6615f6df875,full_copy_t2,1800,1483,317,0,317,0.1761111111111111,31770.640000000025,12881.641666666666,6233270.0,6903019.0,13136289.0,196058400,1800,1152,18900,wifi-exp-f2e354c
radio_propagation,radio-propagation-qualification-p17,17,21006,1,97cbe73b9fe6fdc4bcaa,ideal_systematic_fec_12p5_t2,1800,1048,752,0,752,0.4177777777777778,32591.829999999998,20951.73,1520206.0,18194054.0,19714260.0,203221200,1800,1769,3690,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21005,1,97dc434f9ebd0f1927e3,single_5ghz_no_redundancy,1800,1536,264,0,264,0.14666666666666667,31405.100000000006,13381.003333333334,0.0,9206420.0,9206420.0,200652000,0,0,0,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p19,19,21045,1,99babbcbf27cf66540fc,oracle_eventual_missing_repair_t2,1800,1546,254,0,254,0.1411111111111111,32488.55,12707.500555555556,2405537.0,6204589.0,8610126.0,395097000,543,289,5484,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21133,1,a0c5ba84a825906c376e,full_copy_t2,1800,1485,315,0,315,0.175,30500.240000000027,12988.141111111112,5615819.0,7308528.0,12924347.0,202161600,1800,1352,18900,wifi-exp-f2e354c
